Date,Push Messages Delivered,Channels,Edge,Executions,Free,History Messages (Total),History Messages (Non-TLS),History Messages (TLS),Active Devices,Active Devices by Channel,Subscribe Messages / Publish Messages,message_size_1024,message_size_10240,message_size_10752,message_size_11264,message_size_11776,message_size_12288,message_size_12800,message_size_13312,message_size_13824,message_size_14336,message_size_14848,message_size_1536,message_size_15360,message_size_15872,message_size_2048,message_size_2560,message_size_3072,message_size_3584,message_size_4096,message_size_4608,message_size_512,message_size_5120,message_size_5632,message_size_6144,message_size_6656,message_size_7168,message_size_7680,message_size_8192,message_size_8704,message_size_9216,message_size_9728,Total Messages (Total),Total Messages (Non-TLS),Total Messages (TLS),Connections,Publish Messages (Total),Publish Bytes,Publish Bytes / Publish Messages,Publish Messages (Non-TLS),Publish Messages (TLS),Replicated,Messages Subscribed (Total),Messages Subscribed (Non-TLS),Messages Subscribed (TLS),Access manager audit transactions,Client error access manager transactions,Access manager grant transactions,APNS removed,APNS sent notification transactions,Fire transactions,Fire transactions from client to event handlers,Fire transactions between event handlers,FCM sent notification transactions,History transactions,Client error history transactions,KV read transactions,KV write transactions,Misfired transactions from client to event handler,Misfired publishes between event handlers,MPNS sent notification transactions,Client error presence transactions,GetUserState presence transactions,Herenow presence transactions,Global herenow presence transactions,Leave presence transactions,Presence setuserstate transactions,Wherenow presence transactions,transaction_publish,Client error publish transactions,Client error device admin transactions,Push device read transactions,Push device transactions,Client error stream controller transactions,Stream controller read transactions,Stream controller write transactions,Subscribe transactions,Client error subscribe transactions,Streaming subscribe transactions,XHR transactions,Total Transactions,UUID Devices
2017-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-03,0,2,339,0,0,0,0,0,5,4,0:1,0,584,601,376,165,196,152,78,44,27,21,6,19,17,8,31,12,26,9284,21769,6,8625,1886,2761,2395,1360,1895,1576,783,579,685,56492,55895,597,2,55895,189799554,3395,55895,0,176622,597,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,176622,0,0,0,0,0,0,0,333,0,0,0,176961,5
2017-05-04,0,2,6907,0,0,0,0,0,7,2,0:1,0,519,454,281,141,134,106,67,31,20,10,280,11,10,163,131,44,38,6129,13706,19,5801,1340,1790,1678,1036,1578,1377,801,587,632,51083,36953,14130,2,36953,127247158,3443,36953,0,117685,14130,0,14130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,117685,0,0,0,0,0,0,0,6888,1,0,0,124592,11
2017-05-05,0,2,2468,0,0,0,0,0,3,2,0:1,0,115,133,68,33,41,29,21,9,9,7,0,7,10,0,1,4,16,1741,3959,4,1629,378,492,433,273,388,348,179,118,169,16138,10277,5861,2,10277,34976496,3403,10277,0,32509,5861,0,5861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32509,0,0,0,0,0,0,0,2464,0,0,0,34977,3
2017-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-08,0,2,6304,0,0,0,0,0,5,2,0:1,0,591,681,380,154,203,130,71,47,27,17,489,8,18,194,115,49,31,8058,16569,16,6707,1681,1970,1756,1174,1904,1589,835,653,761,57636,44928,12708,2,44928,154490866,3438,44928,0,142697,12708,0,12708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,142697,0,0,0,0,0,0,0,6288,1,0,0,149001,8
2017-05-09,0,2,2770,0,0,0,0,0,10,4,0:1,2,851,904,554,270,270,224,130,74,76,16,911,16,18,404,97,33,49,11276,24356,16,11686,3073,3444,3120,1998,2725,2236,1008,782,972,73699,69880,3819,2,69880,243326309,3482,69880,0,224169,3819,0,3819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,224169,0,0,0,0,0,0,0,2752,2,0,0,226939,11
2017-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-12,0,2,1265,0,0,0,0,0,4,2,0:1,0,310,270,160,105,95,75,50,23,24,20,208,10,9,78,26,11,13,3589,7813,6,4158,1315,1426,1228,723,874,757,374,294,387,26296,23941,2355,2,23941,83213868,3475,23941,0,77117,2355,0,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,77117,0,0,0,0,0,0,0,1259,1,0,0,78382,4
2017-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
